Firstname,Lastname,Contact Number,Date of Birth,Status,Start Date,Classroom,Start Year,End Year,Guardian Name,Guardian Relationship,Guardian Contact Number,Guardian Email,Guardian 2 Name,Guardian 2 Relationship,Guardian 2 Contact Number,Guardian 2 Email,Biography,Home Address
Learner,34,123456822,1990/02/03,Active,1994/02/04,Classroom 1 Nagar,2015,2016,Rahul,Father,789456156,33@xyz.com,Neha,Mother,741258996,,,Delhi
Learner,35,123456823,1990/02/04,Active,1994/02/05,Classroom 1 Nagar,2015,2016,Rahul,Father,789456157,34@xyz.com,Neha,Mother,741258997,,,Delhi
Learner,36,123456824,1990/02/05,Active,1994/02/06,Classroom 1 Nagar,2015,2016,Rahul,Father,789456158,35@xyz.com,Neha,Mother,741258998,,,Delhi
Learner,37,123456825,1990/02/06,Active,1994/02/07,Classroom 1 Nagar,2015,2016,Rahul,Father,789456159,36@xyz.com,Neha,Mother,741258999,,,Delhi
Learner,38,123456826,1990/02/07,Active,1994/02/08,Classroom 1 Nagar,2015,2016,Rahul,Father,789456160,37@xyz.com,Neha,Mother,741259000,,,Delhi
Learner,39,123456827,1990/02/08,Active,1994/02/09,Classroom 1 Nagar,2015,2016,Rahul,Father,789456161,38@xyz.com,Neha,Mother,741259001,,,Delhi
Learner,40,123456828,1990/02/09,Active,1994/02/10,Classroom 1 Nagar,2015,2016,Rahul,Father,789456162,39@xyz.com,Neha,Mother,741259002,,,Delhi
Learner,41,123456829,1990/02/10,Active,1994/02/11,Classroom 1 Nagar,2015,2016,Rahul,Father,789456163,40@xyz.com,Neha,Mother,741259003,,,Delhi
Learner,42,123456830,1990/02/11,Active,1994/02/12,Classroom 1 Nagar,2015,2016,Rahul,Father,789456164,41@xyz.com,Neha,Mother,741259004,,,Delhi
Learner,43,123456831,1990/02/12,Active,1994/02/13,Classroom 1 Nagar,2015,2016,Rahul,Father,789456165,42@xyz.com,Neha,Mother,741259005,,,Delhi
Learner,44,123456832,1990/02/13,Active,1994/02/14,Classroom 1 Nagar,2015,2016,Rahul,Father,789456166,43@xyz.com,Neha,Mother,741259006,,,Delhi
Learner,45,123456833,1990/02/14,Active,1994/02/15,Classroom 1 Nagar,2015,2016,Rahul,Father,789456167,44@xyz.com,Neha,Mother,741259007,,,Delhi
Learner,46,123456834,1990/02/15,Active,1994/02/16,Classroom 1 Nagar,2015,2016,Rahul,Father,789456168,45@xyz.com,Neha,Mother,741259008,,,Delhi
Learner,47,123456835,1990/02/16,Active,1994/02/17,Classroom 1 Nagar,2015,2016,Rahul,Father,789456169,46@xyz.com,Neha,Mother,741259009,,,Delhi
Learner,48,123456836,1990/02/17,Active,1994/02/18,Classroom 1 Nagar,2015,2016,Rahul,Father,789456170,47@xyz.com,Neha,Mother,741259010,,,Delhi
Learner,49,123456837,1990/02/18,Active,1994/02/19,Classroom 1 Nagar,2015,2016,Rahul,Father,789456171,48@xyz.com,Neha,Mother,741259011,,,Delhi
Learner,50,123456838,1990/02/19,Active,1994/02/20,Classroom 1 Nagar,2015,2016,Rahul,Father,789456172,49@xyz.com,Neha,Mother,741259012,,,Delhi
Learner,51,123456839,1990/02/20,Active,1994/02/21,Classroom 1 Nagar,2015,2016,Rahul,Father,789456173,50@xyz.com,Neha,Mother,741259013,,,Delhi
Learner,52,123456840,1990/02/21,Active,1994/02/22,Classroom 1 Nagar,2015,2016,Rahul,Father,789456174,51@xyz.com,Neha,Mother,741259014,,,Delhi
Learner,53,123456841,1990/02/22,Active,1994/02/23,Classroom 1 Nagar,2015,2016,Rahul,Father,789456175,52@xyz.com,Neha,Mother,741259015,,,Delhi
Learner,54,123456842,1990/02/23,Active,1994/02/24,Classroom 1 Nagar,2015,2016,Rahul,Father,789456176,53@xyz.com,Neha,Mother,741259016,,,Delhi
Learner,55,123456843,1990/02/24,Active,1994/02/25,Classroom 1 Nagar,2015,2016,Rahul,Father,789456177,54@xyz.com,Neha,Mother,741259017,,,Delhi
Learner,56,123456844,1990/02/25,Active,1994/02/26,Classroom 1 Nagar,2015,2016,Rahul,Father,789456178,55@xyz.com,Neha,Mother,741259018,,,Delhi
Learner,57,123456845,1990/02/26,Active,1994/02/27,Classroom 1 Nagar,2015,2016,Rahul,Father,789456179,56@xyz.com,Neha,Mother,741259019,,,Delhi
Learner,58,123456846,1990/02/27,Active,1994/02/28,Classroom 1 Nagar,2015,2016,Rahul,Father,789456180,57@xyz.com,Neha,Mother,741259020,,,Delhi
Learner,59,123456847,1990/02/28,Active,1994/03/01,Classroom 1 Nagar,2015,2016,Rahul,Father,789456181,58@xyz.com,Neha,Mother,741259021,,,Delhi
Learner,60,123456848,1990/03/01,Active,1994/03/02,Classroom 1 Nagar,2015,2016,Rahul,Father,789456182,59@xyz.com,Neha,Mother,741259022,,,Delhi
Learner,61,123456849,1990/03/02,Active,1994/03/03,Classroom 1 Nagar,2015,2016,Rahul,Father,789456183,abc@xyz.com,Neha,Mother,741259023,,,Delhi
Learner,62,123456850,1990/03/03,Active,1994/03/04,Classroom 1 Nagar,2015,2016,Rahul,Father,789456184,60@xyz.com,Neha,Mother,741259024,,,Delhi
Learner,63,123456851,1990/03/04,Active,1994/03/05,Classroom 1 Nagar,2015,2016,Rahul,Father,789456185,61@xyz.com,Neha,Mother,741259025,,,Delhi
Learner,64,123456852,1990/03/05,Active,1994/03/06,Classroom 1 Nagar,2015,2016,Rahul,Father,789456186,abc@xyz.com,Neha,Mother,741259026,,,Delhi
Learner,65,123456853,1990/03/06,Active,1994/03/07,Classroom 1 Nagar,2015,2016,Rahul,Father,789456187,62@xyz.com,Neha,Mother,741259027,,,Delhi
Learner,66,123456854,1990/03/07,Active,1994/03/08,Classroom 1 Nagar,2015,2016,Rahul,Father,789456188,63@xyz.com,Neha,Mother,741259028,,,Delhi
Learner,67,123456855,1990/03/08,Active,1994/03/09,Classroom 1 Nagar,2015,2016,Rahul,Father,789456189,364@xyz.com,Neha,Mother,741259029,,,Delhi
Learner,68,123456856,1990/03/09,Active,1994/03/10,Classroom 1 Nagar,2015,2016,Rahul,Father,789456190,65@xyz.com,Neha,Mother,741259030,,,Delhi
Learner,69,123456857,1990/03/10,Active,1994/03/11,Classroom 1 Nagar,2015,2016,Rahul,Father,789456191,66@xyz.com,Neha,Mother,741259031,,,Delhi
Learner,70,123456858,1990/03/11,Active,1994/03/12,Classroom 1 Nagar,2015,2016,Rahul,Father,789456192,67@xyz.com,Neha,Mother,741259032,,,Delhi
Learner,71,123456859,1990/03/12,Active,1994/03/13,Classroom 1 Nagar,2015,2016,Rahul,Father,789456193,68@xyz.com,Neha,Mother,741259033,,,Delhi
Learner,72,123456860,1990/03/13,Active,1994/03/14,Classroom 1 Nagar,2015,2016,Rahul,Father,789456194,69@xyz.com,Neha,Mother,741259034,,,Delhi
Learner,73,123456861,1990/03/14,Active,1994/03/15,Classroom 1 Nagar,2015,2016,Rahul,Father,789456195,abc@xyz.com,Neha,Mother,741259035,,,Delhi
Learner,74,123456862,1990/03/15,Active,1994/03/16,Classroom 1 Nagar,2015,2016,Rahul,Father,789456196,70@xyz.com,Neha,Mother,741259036,,,Delhi
Learner,75,123456863,1990/03/16,Active,1994/03/17,Classroom 1 Nagar,2015,2016,Rahul,Father,789456197,171@xyz.com,Neha,Mother,741259037,,,Delhi
Learner,76,123456864,1990/03/17,Inactive,1994/03/18,Classroom 1 Nagar,2015,2016,Rahul,Father,789456198,72@xyz.com,Neha,Mother,741259038,,,Delhi
Learner,77,123456865,1990/03/18,Inactive,1994/03/19,Classroom 1 Nagar,2015,2016,Rahul,Father,789456199,1@xyz.com,Neha,Mother,741259039,,,Delhi
Learner,78,123456866,1990/03/19,Inactive,1994/03/20,Classroom 1 Nagar,2015,2016,Rahul,Father,789456200,2@xyz.com,Neha,Mother,741259040,,,Delhi
Learner,79,123456867,1990/03/20,Inactive,1994/03/21,Classroom 1 Nagar,2015,2016,Rahul,Father,789456201,3@xyz.com,Neha,Mother,741259041,,,Delhi
Learner,80,123456868,1990/03/21,Inactive,1994/03/22,Classroom 1 Nagar,2015,2016,Rahul,Father,789456202,4@xyz.com,Neha,Mother,741259042,,,Delhi
Learner,81,123456869,1990/03/22,Inactive,1994/03/23,Classroom 1 Nagar,2015,2016,Rahul,Father,789456203,5@xyz.com,Neha,Mother,741259043,,,Delhi
Learner,82,123456870,1990/03/23,Inactive,1994/03/24,Classroom 1 Nagar,2015,2016,Rahul,Father,789456204,6@xyz.com,Neha,Mother,741259044,,,Delhi
Learner,83,123456871,1990/03/24,Inactive,1994/03/25,Classroom 1 Nagar,2015,2016,Rahul,Father,789456205,7@xyz.com,Neha,Mother,741259045,,,Delhi
Learner,84,123456872,1990/03/25,Inactive,1994/03/26,Classroom 1 Nagar,2015,2016,Rahul,Father,789456206,8@xyz.com,Neha,Mother,741259046,,,Delhi
Learner,85,123456873,1990/03/26,Inactive,1994/03/27,Classroom 1 Nagar,2015,2016,Rahul,Father,789456207,9@xyz.com,Neha,Mother,741259047,,,Delhi
Learner,86,123456874,1990/03/27,Inactive,1994/03/28,Classroom 1 Nagar,2015,2016,Rahul,Father,789456208,10@xyz.com,Neha,Mother,741259048,,,Delhi
Learner,87,123456875,1990/03/28,Inactive,1994/03/29,Classroom 1 Nagar,2015,2016,Rahul,Father,789456209,io@xyz.com,Neha,Mother,741259049,,,Delhi
Learner,88,123456876,1990/03/29,Inactive,1994/03/30,Classroom 1 Nagar,2015,2016,Rahul,Father,789456210,ty@xyz.com,Neha,Mother,741259050,,,Delhi
Learner,89,123456877,1990/03/30,Inactive,1994/03/31,Classroom 1 Nagar,2015,2016,Rahul,Father,789456211,rt@xyz.com,Neha,Mother,741259051,,,Delhi
Learner,90,123456878,1990/03/31,Inactive,1994/04/01,Classroom 1 Nagar,2015,2016,Rahul,Father,789456212,yh@xyz.com,Neha,Mother,741259052,,,Delhi
Learner,91,123456879,1990/04/01,Inactive,1994/04/02,Classroom 1 Nagar,2015,2016,Rahul,Father,789456213,bh@xyz.com,Neha,Mother,741259053,,,Delhi
Learner,92,123456880,1990/04/02,Inactive,1994/04/03,Classroom 1 Nagar,2015,2016,Rahul,Father,789456214,bj@xyz.com,Neha,Mother,741259054,,,Delhi
Learner,93,123456881,1990/04/03,Inactive,1994/04/04,Classroom 1 Nagar,2015,2016,Rahul,Father,789456215,kl@xyz.com,Neha,Mother,741259055,,,Delhi
Learner,94,123456882,1990/04/04,Inactive,1994/04/05,Classroom 1 Nagar,2015,2016,Rahul,Father,789456216,l@xyz.com,Neha,Mother,741259056,,,Delhi
Learner,95,123456883,1990/04/05,Inactive,1994/04/06,Classroom 1 Nagar,2015,2016,Rahul,Father,789456217,ui@xyz.com,Neha,Mother,741259057,,,Delhi
Learner,96,123456884,1990/04/06,Inactive,1994/04/07,Classroom 1 Nagar,2015,2016,Rahul,Father,789456218,jk@xyz.com,Neha,Mother,741259058,,,Delhi
Learner,97,123456885,1990/04/07,Inactive,1994/04/08,Classroom 1 Nagar,2015,2016,Rahul,Father,789456219,mjk@xyz.com,Neha,Mother,741259059,,,Delhi
Learner,98,123456886,1990/04/08,Inactive,1994/04/09,Classroom 1 Nagar,2015,2016,Rahul,Father,789456220,mjkh@xyz.com,Neha,Mother,741259060,,,Delhi
Learner,99,123456887,1990/04/09,Inactive,1994/04/10,Classroom 1 Nagar,2015,2016,Rahul,Father,789456221,jh@xyz.com,Neha,Mother,741259061,,,Delhi
Learner,100,123456888,1990/04/10,Inactive,1994/04/11,Classroom 1 Nagar,2015,2016,Rahul,Father,789456222,nj@xyz.com,Neha,Mother,741259062,,,Delhi
